StateName,state_code,state_region,nfl_presence,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Alabama,AL,South,,"160,396.40","166,531.80","168,695.30","168,448.30","172,430.40","178,040.00","189,913.70","197,246.50","199,923.90","202,025.50","200,967.40","194,192.10","199,455.00","201,372.80","203,675.50","206,962.90","206,070.00","208,950.30"
Alaska,AK,West,,"40,263.70","39,783.10","38,428.10","40,014.40","41,904.70","41,235.00","42,880.10","44,406.80","47,546.20","50,126.70","49,926.60","54,951.90","53,652.00","54,045.50","57,087.40","54,627.60","53,303.30","53,681.10"
Arizona,AZ,Southwest,Y,"197,492.10","214,293.90","224,729.30","230,885.60","238,257.10","253,743.10","264,990.00","283,806.20","296,424.40","306,611.60","302,277.90","277,412.40","282,252.50","290,411.30","297,077.30","298,859.90","301,721.20","308,582.80"
Arkansas,AR,South,,"89,905.30","94,756.90","95,509.80","95,528.70","98,556.60","102,948.00","108,581.80","112,451.10","114,890.40","114,026.70","113,628.00","109,833.10","113,000.90","115,241.80","116,616.20","119,842.80","121,409.40","121,532.50"
California,CA,West,Y,"1,538,612.30","1,655,438.50","1,784,320.60","1,784,567.70","1,821,509.50","1,895,287.60","1,956,745.50","2,042,141.00","2,120,435.40","2,168,940.40","2,192,331.80","2,110,679.40","2,153,852.80","2,192,887.20","2,255,437.30","2,340,335.30","2,428,675.70","2,545,979.50"
Colorado,CO,West,Y,"206,449.10","221,040.80","238,739.30","242,650.10","243,701.90","246,017.40","250,069.30","261,992.90","268,190.80","278,733.80","281,803.30","275,659.10","279,385.60","283,963.80","289,339.50","301,484.10","315,399.00","330,526.10"
Connecticut,CT,New England,,"212,255.00","218,860.00","233,874.20","236,338.10","234,307.30","236,719.10","252,680.80","258,203.70","269,478.60","278,485.40","277,793.20","265,530.80","266,773.40","261,555.80","263,649.90","258,911.00","260,605.80","268,869.80"
Delaware,DE,Middle Atlantic,,"56,487.00","60,866.20","63,388.80","65,724.80","63,702.50","64,316.80","67,735.50","66,381.20","68,411.80","68,132.40","65,771.30","69,186.20","68,291.90","71,103.50","70,562.40","68,656.80","73,961.70","76,211.20"
District of Columbia,DC,Middle Atlantic,Y,"88,108.10","92,096.80","92,764.30","96,185.30","99,014.70","100,969.40","106,547.20","108,884.10","108,848.30","112,287.60","116,213.70","115,646.00","120,393.20","122,636.40","123,567.90","124,094.80","126,883.90","129,110.20"
Florida,FL,South,Y,"634,032.30","664,152.00","693,837.30","714,638.00","746,252.80","781,834.20","833,946.80","883,164.50","909,298.90","922,288.30","891,766.90","840,480.60","851,956.40","849,395.30","857,861.30","880,183.50","905,648.50","945,929.00"
Georgia,GA,South,Y,"377,705.90","404,465.20","417,713.50","422,731.60","427,329.70","439,074.60","461,245.40","480,838.30","487,524.90","492,238.70","481,860.30","464,016.80","471,588.20","481,215.40","489,027.30","499,900.20","517,511.90","540,108.50"
Hawaii,HI,West,,"58,946.10","59,612.10","60,745.70","60,446.40","62,355.20","65,623.70","69,332.00","72,941.90","74,892.90","76,434.10","76,830.20","74,118.50","76,130.20","77,174.20","78,694.00","80,534.90","81,304.90","83,857.60"
Idaho,ID,West,,"40,879.30","44,821.50","49,793.00","48,695.40","49,840.50","51,542.60","55,137.10","59,331.90","60,738.60","61,812.10","63,878.20","61,276.10","62,626.40","62,704.00","62,007.30","64,769.80","66,784.90","67,790.50"
Illinois,IL,Midwest,Y,"639,642.70","663,857.80","687,111.40","688,404.30","692,398.10","703,548.80","726,139.00","741,248.60","759,825.70","769,571.60","759,095.30","740,794.30","755,391.40","772,225.60","790,723.30","795,435.20","811,490.10","825,424.90"
Indiana,IN,Midwest,Y,"260,549.90","268,864.30","278,990.40","273,884.40","280,723.00","293,045.20","303,819.80","306,344.60","312,525.50","322,661.70","322,384.30","299,789.00","320,731.80","321,532.80","323,876.20","333,207.40","343,827.80","341,205.20"
